t(s)	u_raw(m/s)	v_raw(m/s)	w_raw(m/s)	u_despiked(m/s)	v_despiked(m/s)	w_despiked(m/s)
86.76	0.47	-0.145	-0.745	NaN	NaN	NaN
86.78	-0.003	-0.268	-1.397	NaN	NaN	NaN
86.8	0.649	-0.099	-0.411	NaN	NaN	NaN
86.82	0.499	-0.137	-3.505	NaN	NaN	NaN
86.84	1.251	-0.344	-1.272	NaN	NaN	NaN
86.86	0.499	-0.137	-0.919	NaN	NaN	NaN
86.88	0.781	-0.065	-0.557	NaN	NaN	NaN
86.9	0.499	-0.137	-2.914	NaN	NaN	NaN
86.92	0.492	-1.21	-6.322	NaN	NaN	NaN
86.94	-0.73	-0.724	-3.651	NaN	NaN	NaN
86.96	0.446	-0.151	-0.397	NaN	NaN	NaN
86.98	0.243	-1.007	-5.403	NaN	NaN	NaN
87	1.424	-0.433	-2.038	NaN	NaN	NaN
87.02	2.503	-0.689	-6.599	NaN	NaN	NaN
87.04	0.851	-0.313	-1.618	NaN	NaN	NaN
87.06	0.5	-0.271	-2.142	NaN	NaN	NaN
87.08	2.755	-0.891	-7.863	NaN	NaN	NaN
87.1	-0.009	-1.073	-5.283	NaN	NaN	NaN
87.12	1.501	-0.413	-4.921	NaN	NaN	NaN
87.14	0.499	-0.137	-3.709	NaN	NaN	NaN
87.16	0.563	-0.121	-2.826	NaN	NaN	NaN
87.18	3.165	-0.784	-3.665	NaN	NaN	NaN
87.2	0.499	-0.137	-0.861	NaN	NaN	NaN
87.22	0.35	-0.176	-0.911	NaN	NaN	NaN
87.24	-3.508	0.963	4.952	NaN	NaN	NaN
87.26	0.499	-0.137	2.271	NaN	NaN	NaN
87.28	-0.003	-0.268	-1.4	NaN	NaN	NaN
87.3	2.008	0.253	3.605	NaN	NaN	NaN
87.32	-1.763	-0.724	-6.786	NaN	NaN	NaN
87.34	0.499	-0.137	-0.843	NaN	NaN	NaN
87.36	-1.513	-0.793	-1.111	NaN	NaN	NaN
87.38	3.006	-0.558	-2.772	NaN	NaN	NaN
87.4	0.499	-0.137	1.799	NaN	NaN	NaN
87.42	-1.197	-0.712	-3.359	NaN	NaN	NaN
87.44	-1.763	-0.724	-3.527	NaN	NaN	NaN
87.46	-0.931	-0.818	-7.464	NaN	NaN	NaN
87.48	0.249	-0.202	-3.536	NaN	NaN	NaN
87.5	-1.289	-0.735	-7.015	NaN	NaN	NaN
87.52	0.499	-0.137	-0.012	NaN	NaN	NaN
87.54	1.472	-0.421	-4.921	NaN	NaN	NaN
87.56	1.753	-0.348	-4.512	NaN	NaN	NaN
87.58	0.999	-0.544	-6.129	NaN	NaN	NaN
87.6	-0.759	-0.731	-3.157	NaN	NaN	NaN
87.62	-1.576	-0.676	-3.744	NaN	NaN	NaN
87.64	1.215	-0.335	-4.458	NaN	NaN	NaN
87.66	1.251	-0.344	-4.713	NaN	NaN	NaN
87.68	0.364	-0.173	-0.893	NaN	NaN	NaN
87.7	0.851	-0.313	-4.564	NaN	NaN	NaN
87.72	0.249	-0.202	-1.27	NaN	NaN	NaN
87.74	0.527	-0.131	-3.406	NaN	NaN	NaN
87.76	3.264	0.311	1.725	NaN	NaN	NaN
87.78	1.753	-0.615	-5.687	NaN	NaN	NaN
87.8	0.784	-0.217	-0.784	NaN	NaN	NaN
87.82	-0.003	-0.268	0.317	NaN	NaN	NaN
87.84	-5.518	0.442	2.385	NaN	NaN	NaN
87.86	-0.003	-0.268	-1.293	NaN	NaN	NaN
87.88	2.511	0.384	2.237	NaN	NaN	NaN
87.9	0.999	-0.544	-5.761	NaN	NaN	NaN
87.92	2.355	-0.916	-5.077	NaN	NaN	NaN
87.94	-0.003	-0.268	-0.83	NaN	NaN	NaN
87.96	0.248	-0.337	-4.941	NaN	NaN	NaN
87.98	2.002	-0.818	-4.103	NaN	NaN	NaN
88	0.751	-0.34	-1.759	NaN	NaN	NaN
88.02	0.751	-0.34	-4.705	NaN	NaN	NaN
88.04	1.223	-0.218	-1.194	NaN	NaN	NaN
88.06	-0.003	-0.268	-1.263	NaN	NaN	NaN
88.08	1.002	-0.007	-0.008	NaN	NaN	NaN
88.1	0.243	-1.007	-8.242	NaN	NaN	NaN
88.12	-1.009	-0.529	-3.164	NaN	NaN	NaN
88.14	2.008	0.253	1.614	NaN	NaN	NaN
88.16	0.47	-0.145	-0.393	NaN	NaN	NaN
88.18	2.004	-0.282	-4.213	NaN	NaN	NaN
88.2	0.499	-0.137	-0.5	NaN	NaN	NaN
88.22	-1.262	-0.862	-4.548	NaN	NaN	NaN
88.24	2.008	0.253	4.455	NaN	NaN	NaN
88.26	-0.003	-0.268	-1.211	NaN	NaN	NaN
88.28	0.499	-0.137	-0.194	NaN	NaN	NaN
88.3	1	-0.544	-3.038	NaN	NaN	NaN
88.32	2.003	-0.819	-8.901	NaN	NaN	NaN
88.34	-1.009	-0.529	-5.841	NaN	NaN	NaN
88.36	-0.003	-0.268	-3.74	NaN	NaN	NaN
88.38	2.003	-0.819	-7.18	NaN	NaN	NaN
88.4	-0.003	-0.268	-1.4	NaN	NaN	NaN
88.42	0.499	-0.137	-0.328	NaN	NaN	NaN
88.44	2.003	-0.819	-7.211	NaN	NaN	NaN
88.46	0.751	-0.073	-0.115	NaN	NaN	NaN
88.48	2.009	0.254	1.387	NaN	NaN	NaN
88.5	0.498	-0.405	-5.276	NaN	NaN	NaN
88.52	2.009	0.254	-0.149	NaN	NaN	NaN
88.54	-1.513	-0.66	-2.859	NaN	NaN	NaN
88.56	1.003	-0.007	2.1	NaN	NaN	NaN
88.58	0.498	-0.405	-3.994	NaN	NaN	NaN
88.6	1.51	0.391	-0.149	NaN	NaN	NaN
88.62	1.253	-0.076	-8.183	NaN	NaN	NaN
88.64	0.498	-0.405	-4.362	NaN	NaN	NaN
88.66	-1.009	-0.529	-2.102	NaN	NaN	NaN
88.68	-0.003	-0.268	-5.496	NaN	NaN	NaN
88.7	0.498	-0.405	-5.056	NaN	NaN	NaN
88.72	3.016	0.515	1.805	NaN	NaN	NaN
88.74	0.499	-0.137	-2.958	NaN	NaN	NaN
88.76	1	-0.544	-5.546	NaN	NaN	NaN
88.78	0.499	-0.137	-3.163	NaN	NaN	NaN
88.8	0.751	-0.341	-4.013	NaN	NaN	NaN
88.82	2.362	0.157	-3.951	NaN	NaN	NaN
88.84	2.009	0.254	-0.488	NaN	NaN	NaN
88.86	-1.79	0.224	-2.519	NaN	NaN	NaN
88.88	2.009	0.254	-1.603	NaN	NaN	NaN
88.9	0.249	-0.202	-4.041	NaN	NaN	NaN
88.92	0.498	-0.405	-4.362	NaN	NaN	NaN
88.94	2.009	0.254	-0.866	NaN	NaN	NaN
88.96	-0.003	-0.268	-5.392	NaN	NaN	NaN
88.98	4.014	-0.297	-2.981	NaN	NaN	NaN
89	2.009	0.254	2.815	NaN	NaN	NaN
89.02	2.009	0.254	3.474	NaN	NaN	NaN
89.04	3.012	-0.021	0.445	NaN	NaN	NaN
89.06	2.009	0.254	2.429	NaN	NaN	NaN
89.08	2.009	0.254	0.877	NaN	NaN	NaN
89.1	2.003	-0.819	-2.963	NaN	NaN	NaN
89.12	1.003	-0.007	-4.149	NaN	NaN	NaN
89.14	1.003	-0.007	3.226	NaN	NaN	NaN
89.16	5.019	-0.305	-0.465	NaN	NaN	NaN
89.18	2.009	0.254	2.081	NaN	NaN	NaN
89.2	-1.999	1.356	6.155	NaN	NaN	NaN
89.22	3.012	-0.021	0.665	NaN	NaN	NaN
89.24	-4.011	0.834	8.088	NaN	NaN	NaN
89.26	3.016	0.515	-0.984	NaN	NaN	NaN
89.28	2.009	0.254	2.001	NaN	NaN	NaN
89.3	2.003	-0.819	-2.842	NaN	NaN	NaN
89.32	4.014	-0.297	0.732	NaN	NaN	NaN
89.34	2.26	0.185	4.492	NaN	NaN	NaN
89.36	2.009	0.254	3.474	NaN	NaN	NaN
89.38	1.506	0.123	2.039	NaN	NaN	NaN
89.4	1.506	0.123	0.606	NaN	NaN	NaN
89.42	-0.506	-0.399	-2.222	NaN	NaN	NaN
89.44	1	-0.544	-1.389	NaN	NaN	NaN
89.46	0.498	-0.405	-0.022	NaN	NaN	NaN
89.48	-0.255	-0.333	-1.792	NaN	NaN	NaN
89.5	-0.003	-0.268	2.079	NaN	NaN	NaN
89.52	-1.498	1.217	10.554	NaN	NaN	NaN
89.54	2.26	0.185	3.428	NaN	NaN	NaN
89.56	-0.003	-0.268	1.42	NaN	NaN	NaN
89.58	2.009	0.254	-0.129	NaN	NaN	NaN
89.6	-0.003	-0.268	-0.788	NaN	NaN	NaN
89.62	1.57	0.14	1.598	NaN	NaN	NaN
89.64	1.003	-0.007	0.377	NaN	NaN	NaN
89.66	1.945	-0.03	1.324	NaN	NaN	NaN
89.68	1.003	-0.007	0.726	NaN	NaN	NaN
89.7	2.006	-0.149	-2.618	NaN	NaN	NaN
89.72	1.506	0.123	1.383	NaN	NaN	NaN
89.74	3.012	-0.021	4.203	NaN	NaN	NaN
89.76	0.499	-0.137	-2.139	NaN	NaN	NaN
89.78	2.009	0.254	2.815	NaN	NaN	NaN
89.8	-0.003	-0.268	-2.059	NaN	NaN	NaN
89.82	1.506	0.123	2.898	NaN	NaN	NaN
89.84	-0.003	-0.268	-5.7	NaN	NaN	NaN
89.86	1.254	0.058	0.378	NaN	NaN	NaN
89.88	1.003	-0.007	-1.323	NaN	NaN	NaN
89.9	4.022	0.776	3.918	NaN	NaN	NaN
89.92	0.498	-0.405	-3.464	NaN	NaN	NaN
89.94	1.253	-0.076	-1.677	NaN	NaN	NaN
89.96	-2.506	0.957	2.487	NaN	NaN	NaN
89.98	0.751	-0.073	-2.199	NaN	NaN	NaN
90	-3.51	0.964	7.856	NaN	NaN	NaN
90.02	1.754	-0.348	-4.368	NaN	NaN	NaN
90.04	2.505	-0.689	-2.11	NaN	NaN	NaN
90.06	0.499	-0.137	-2.512	NaN	NaN	NaN
90.08	1.001	-0.276	-5.877	NaN	NaN	NaN
90.1	2.505	-0.689	-5.011	NaN	NaN	NaN
90.12	0.465	-0.261	-5.819	NaN	NaN	NaN
90.14	0.499	-0.137	-6.56	NaN	NaN	NaN
90.16	2.505	-0.957	-6.457	NaN	NaN	NaN
90.18	-0.003	-0.268	-4.795	NaN	NaN	NaN
90.2	0.249	-0.202	-0.727	NaN	NaN	NaN
90.22	-0.003	-0.268	-2.917	NaN	NaN	NaN
90.24	-0.753	0.206	-0.106	NaN	NaN	NaN
90.26	0.499	-0.137	-2.221	NaN	NaN	NaN
90.28	1	-0.276	-4.401	NaN	NaN	NaN
90.3	0.785	-0.063	-1.863	NaN	NaN	NaN
90.32	0.781	-0.065	-2.567	NaN	NaN	NaN
90.34	-0.003	-0.268	-3.957	NaN	NaN	NaN
90.36	2.503	-0.689	-2.762	NaN	NaN	NaN
90.38	1.002	-0.007	-1.156	NaN	NaN	NaN
90.4	1.002	-0.007	-0.626	NaN	NaN	NaN
90.42	0.249	-0.202	-1.498	NaN	NaN	NaN
90.44	0.714	-0.464	-6.708	NaN	NaN	NaN
90.46	-0.003	-0.268	-3.652	NaN	NaN	NaN
90.48	2.254	-0.754	-4.354	NaN	NaN	NaN
90.5	1	-0.276	-2.929	NaN	NaN	NaN
90.52	2.002	-0.818	-1.595	NaN	NaN	NaN
90.54	-2.005	0.282	3.019	NaN	NaN	NaN
90.56	-0.003	-0.268	-2.179	NaN	NaN	NaN
90.58	-0.003	-0.268	-2.368	NaN	NaN	NaN
90.6	0.499	-0.137	-3.53	NaN	NaN	NaN
90.62	2.503	-0.689	-8.569	NaN	NaN	NaN
90.64	-3.007	0.558	2.592	NaN	NaN	NaN
90.66	0.498	-0.405	-4.645	NaN	NaN	NaN
90.68	0.498	-0.405	-6.405	NaN	NaN	NaN
90.7	-1.009	-0.529	-7.092	NaN	NaN	NaN
90.72	0.5	-0.271	-2.024	NaN	NaN	NaN
90.74	-1	0.544	1.428	NaN	NaN	NaN
90.76	2.008	0.253	0.302	NaN	NaN	NaN
90.78	3.006	-0.558	-4.193	NaN	NaN	NaN
90.8	-0.003	-0.268	-2.386	NaN	NaN	NaN
90.82	-0.003	-0.268	-4.674	NaN	NaN	NaN
90.84	1.002	-0.007	-1.523	NaN	NaN	NaN
90.86	-5.015	0.573	-2.171	NaN	NaN	NaN
90.88	0.498	-0.405	-4.317	NaN	NaN	NaN
90.9	2.002	-0.818	-4.112	NaN	NaN	NaN
90.92	2.002	-0.818	-5.746	NaN	NaN	NaN
90.94	3.006	-0.558	-4.271	NaN	NaN	NaN
90.96	-0.003	-0.268	-5.697	NaN	NaN	NaN
90.98	-0.003	-0.268	-2.915	NaN	NaN	NaN
91	-0.003	-0.268	-7.17	NaN	NaN	NaN
91.02	-2.504	0.842	2.087	NaN	NaN	NaN
91.04	0.499	-0.137	-5.678	NaN	NaN	NaN
91.06	2.002	-0.818	-7.955	NaN	NaN	NaN
91.08	0.249	-0.202	-5.389	NaN	NaN	NaN
91.1	1.251	-0.344	-6.965	NaN	NaN	NaN
91.12	-0.003	-0.268	-2.915	NaN	NaN	NaN
91.14	1.503	-0.145	-4.358	NaN	NaN	NaN
91.16	-2.002	0.818	-0.063	NaN	NaN	NaN
91.18	2.002	-0.818	-8.896	NaN	NaN	NaN
91.2	0.499	-0.137	-0.425	NaN	NaN	NaN
91.22	-3.508	0.963	-0.081	NaN	NaN	NaN
91.24	-1.218	0.067	-4.717	NaN	NaN	NaN
91.26	1.254	0.058	5.063	NaN	NaN	NaN
91.28	2.009	0.254	-2.433	NaN	NaN	NaN
91.3	-0.255	-0.333	-5.108	NaN	NaN	NaN
91.32	3.008	-0.558	-2.803	NaN	NaN	NaN
91.34	-4.263	0.768	0.308	NaN	NaN	NaN
91.36	2.003	-0.819	-8.901	NaN	NaN	NaN
91.38	-0.003	-0.268	-2.221	NaN	NaN	NaN
91.4	0.248	-0.337	-5.009	NaN	NaN	NaN
91.42	0.499	-0.137	-5.005	NaN	NaN	NaN
91.44	1.001	-0.276	-3.624	NaN	NaN	NaN
91.46	2.254	-0.887	-8.886	NaN	NaN	NaN
91.48	0.406	-0.162	-3.806	NaN	NaN	NaN
91.5	0.499	-0.137	-0.789	NaN	NaN	NaN
91.52	0.499	-0.137	-4.309	NaN	NaN	NaN
91.54	-2.223	0.074	-2.198	NaN	NaN	NaN
91.56	0.498	-0.405	-6.203	NaN	NaN	NaN
91.58	0.422	-0.158	-3.719	NaN	NaN	NaN
91.6	-0.003	-0.268	-0.546	NaN	NaN	NaN
91.62	2.256	-0.351	-7.551	NaN	NaN	NaN
91.64	1.504	-0.145	-4.011	NaN	NaN	NaN
91.66	0.499	-0.137	-2.916	NaN	NaN	NaN
91.68	-0.502	-0.131	-2.906	NaN	NaN	NaN
91.7	-0.003	-0.268	-2.756	NaN	NaN	NaN
91.72	-0.007	-0.804	-1.284	NaN	NaN	NaN
91.74	-0.003	-0.268	-7.174	NaN	NaN	NaN
91.76	-1.004	0.007	0.499	NaN	NaN	NaN
91.78	1.001	-0.276	1.203	NaN	NaN	NaN
91.8	0.422	-0.158	-8.079	NaN	NaN	NaN
91.82	0.499	-0.137	1.87	NaN	NaN	NaN
91.84	1.003	-0.007	-2.262	NaN	NaN	NaN
91.86	0.249	-0.202	-0.197	NaN	NaN	NaN
91.88	-2.949	0.038	3.106	NaN	NaN	NaN
91.9	1.253	-0.076	0.372	NaN	NaN	NaN
91.92	-0.787	0.063	1.79	NaN	NaN	NaN
91.94	3.012	-0.021	4.346	NaN	NaN	NaN
91.96	-0.506	-0.399	0.23	NaN	NaN	NaN
91.98	-3.684	0.383	2.393	NaN	NaN	NaN
92	0.751	-0.073	1.235	NaN	NaN	NaN
92.02	1.502	-0.413	2.602	NaN	NaN	NaN
92.04	1.788	-0.339	-0.099	NaN	NaN	NaN
92.06	0.75	-0.207	1.244	NaN	NaN	NaN
92.08	2.882	-0.591	-6.373	NaN	NaN	NaN
92.1	0.623	-0.258	1.199	NaN	NaN	NaN
92.12	-4.011	0.834	5.852	NaN	NaN	NaN
92.14	1.753	-0.75	-2.716	NaN	NaN	NaN
92.16	0.75	-0.207	0.666	NaN	NaN	NaN
92.18	1.503	-0.279	3.968	NaN	NaN	NaN
92.2	-0.758	-0.464	2.664	NaN	NaN	NaN
92.22	1.288	-0.086	3.962	NaN	NaN	NaN
92.24	2.255	-0.754	0.378	NaN	NaN	NaN
92.26	3.006	-1.095	-3.75	NaN	NaN	NaN
92.28	1.064	-0.293	1.481	NaN	NaN	NaN
92.3	2.505	-0.689	-1.946	NaN	NaN	NaN
92.32	0.852	-0.314	-3.378	NaN	NaN	NaN
92.34	-3.259	0.895	3.246	NaN	NaN	NaN
92.36	-3.51	0.964	2.866	NaN	NaN	NaN
92.38	-0.003	-0.268	-2.408	NaN	NaN	NaN
92.4	1.502	-0.413	-1.306	NaN	NaN	NaN
92.42	0.751	-0.341	-1.682	NaN	NaN	NaN
92.44	2.505	-0.689	0.159	NaN	NaN	NaN
92.46	-0.215	0.212	4.703	NaN	NaN	NaN
92.48	1.003	-0.007	1.216	NaN	NaN	NaN
92.5	-0.003	-0.268	2.585	NaN	NaN	NaN
92.52	-0.678	-0.443	-3.332	NaN	NaN	NaN
92.54	1.003	-0.007	3.979	NaN	NaN	NaN
92.56	2.725	0.057	1.803	NaN	NaN	NaN
92.58	0.498	-0.405	2.226	NaN	NaN	NaN
92.6	0.75	-0.207	1.247	NaN	NaN	NaN
92.62	2.224	-0.762	-2.374	NaN	NaN	NaN
92.64	2.252	-0.787	-3.981	NaN	NaN	NaN
92.66	3.016	0.515	6.299	NaN	NaN	NaN
92.68	-0.003	-0.268	-2.059	NaN	NaN	NaN
92.7	2.82	-0.607	-0.464	NaN	NaN	NaN
92.72	-0.003	-0.268	-1.364	NaN	NaN	NaN
92.74	-1.513	-0.66	-4.85	NaN	NaN	NaN
92.76	-2.001	1.088	7.807	NaN	NaN	NaN
92.78	0.873	-0.577	-1.566	NaN	NaN	NaN
92.8	-0.003	-0.268	-2.446	NaN	NaN	NaN
92.82	0.465	-0.281	1.529	NaN	NaN	NaN
92.84	1	-0.544	-4.172	NaN	NaN	NaN
92.86	-0.502	-0.131	-1.354	NaN	NaN	NaN
92.88	2.51	0.116	0.797	NaN	NaN	NaN
92.9	2.505	-0.689	-4.196	NaN	NaN	NaN
92.92	3.012	-0.021	0.009	NaN	NaN	NaN
92.94	2.505	-0.689	-2.683	NaN	NaN	NaN
92.96	-3.51	0.964	5.3	NaN	NaN	NaN
92.98	0.499	-0.137	0.805	NaN	NaN	NaN
93	0.499	-0.137	-2.795	NaN	NaN	NaN
93.02	1.001	-0.276	-2.807	NaN	NaN	NaN
93.04	-0.003	-0.268	-2.834	NaN	NaN	NaN
93.06	-0.003	-0.268	-1.364	NaN	NaN	NaN
93.08	2.505	-0.689	-2.445	NaN	NaN	NaN
93.1	0.781	-0.065	-0.278	NaN	NaN	NaN
93.12	0.497	-0.54	-0.647	NaN	NaN	NaN
93.14	-3.51	0.964	3.961	NaN	NaN	NaN
93.16	1.287	-0.201	-3.153	NaN	NaN	NaN
93.18	-0.003	-0.268	-0.667	NaN	NaN	NaN
93.2	2.791	-0.883	-8.024	NaN	NaN	NaN
93.22	1.001	-0.276	-4.24	NaN	NaN	NaN
93.24	2.003	-0.819	-6.256	NaN	NaN	NaN
93.26	1.508	0.391	5.725	NaN	NaN	NaN
93.28	0.995	-1.079	-8.006	NaN	NaN	NaN
93.3	3.256	-0.492	-3.842	NaN	NaN	NaN
93.32	2.001	-0.818	-2.802	NaN	NaN	NaN
93.34	4.018	0.775	3.883	NaN	NaN	NaN
93.36	2.08	-0.53	-1.984	NaN	NaN	NaN
93.38	3.933	-0.049	0.873	NaN	NaN	NaN
93.4	-3.004	1.094	1.74	NaN	NaN	NaN
93.42	3.013	0.514	-1.576	NaN	NaN	NaN
93.44	3.005	-0.558	-3.393	NaN	NaN	NaN
93.46	2.007	0.253	-5.118	NaN	NaN	NaN
93.48	2.001	-0.818	-9.26	NaN	NaN	NaN
93.5	2.001	-0.818	-0.962	NaN	NaN	NaN
93.52	3.005	-0.558	0.473	NaN	NaN	NaN
93.54	4.011	-0.297	1.833	NaN	NaN	NaN
93.56	2.069	0.002	3.705	NaN	NaN	NaN
93.58	2.506	-0.152	-1.732	NaN	NaN	NaN
93.6	3.089	0.267	-1.628	NaN	NaN	NaN
93.62	-3.004	1.094	4.951	NaN	NaN	NaN
93.64	3.432	0.088	-0.795	NaN	NaN	NaN
93.66	2.001	-0.55	-5.168	NaN	NaN	NaN
93.68	-1.221	0.485	1.733	NaN	NaN	NaN
93.7	0.247	-0.471	-1.545	NaN	NaN	NaN
93.72	3.009	-0.021	-1.106	NaN	NaN	NaN
93.74	4.009	-0.565	-2.154	NaN	NaN	NaN
93.76	2.003	-0.282	-1.874	NaN	NaN	NaN
93.78	2.502	-0.688	-5.785	NaN	NaN	NaN
93.8	-1.748	1.152	1.258	NaN	NaN	NaN
93.82	2.003	-0.282	-4.587	NaN	NaN	NaN
93.84	2.756	-0.355	-5.421	NaN	NaN	NaN
93.86	2.758	0.047	-5.402	NaN	NaN	NaN
93.88	3.228	0.57	0.216	NaN	NaN	NaN
93.9	4.519	0.638	-1.892	NaN	NaN	NaN
93.92	0.494	-0.942	-5.213	NaN	NaN	NaN
93.94	2.007	0.253	-3.686	NaN	NaN	NaN
93.96	4.009	-0.565	-7.143	NaN	NaN	NaN
93.98	4.014	0.239	-0.15	NaN	NaN	NaN
94	4.515	0.102	-1.918	NaN	NaN	NaN
94.02	0.059	-0.519	-6.955	NaN	NaN	NaN
94.04	-0.256	-0.601	-6.288	NaN	NaN	NaN
94.06	4.261	-0.365	-4.741	NaN	NaN	NaN
94.08	1.5	-0.681	-7.162	NaN	NaN	NaN
94.1	3.51	-0.16	-3.171	NaN	NaN	NaN
94.12	4.13	-0.534	-6.237	NaN	NaN	NaN
94.14	4.261	-0.365	-4.62	NaN	NaN	NaN
94.16	4.011	-0.297	-5.738	NaN	NaN	NaN
94.18	4.77	0.569	-2.123	NaN	NaN	NaN
94.2	6.022	0.225	-4.179	NaN	NaN	NaN
94.22	1.498	-0.948	-6.019	NaN	NaN	NaN
94.24	3.228	0.57	-1.216	NaN	NaN	NaN
94.26	-1.009	-0.529	-4.679	NaN	NaN	NaN
94.28	-0.24	1.544	2.31	NaN	NaN	NaN
94.3	5.583	0.11	3.369	NaN	NaN	NaN
94.32	0.496	-0.673	0.166	NaN	NaN	NaN
94.34	3.01	-0.021	-4.326	NaN	NaN	NaN
94.36	3.006	-0.558	-4.926	NaN	NaN	NaN
94.38	2.002	-0.818	-9.264	NaN	NaN	NaN
94.4	3.573	-0.411	-6.39	NaN	NaN	NaN
94.42	-0.005	-0.536	-10.048	NaN	NaN	NaN
94.44	3.01	-0.021	-2.223	NaN	NaN	NaN
94.46	3.301	0.589	4.771	NaN	NaN	NaN
94.48	3.761	-0.363	-1.059	NaN	NaN	NaN
94.5	2.007	0.12	1.418	NaN	NaN	NaN
94.52	0.995	-1.079	-12.827	NaN	NaN	NaN
94.54	2.008	0.253	5.066	NaN	NaN	NaN
94.56	3.511	-0.16	0.745	NaN	NaN	NaN
94.58	2.002	-0.818	-7.599	NaN	NaN	NaN
94.6	1.503	-0.145	-2.925	NaN	NaN	NaN
94.62	2.507	-0.152	0.376	NaN	NaN	NaN
94.64	0.714	-0.464	0.531	NaN	NaN	NaN
94.66	1.498	-0.949	-1.166	NaN	NaN	NaN
94.68	1.627	0.155	-0.895	NaN	NaN	NaN
94.7	4.02	0.776	4.562	NaN	NaN	NaN
94.72	0.999	-0.544	-7.864	NaN	NaN	NaN
94.74	-3.508	0.963	3.437	NaN	NaN	NaN
94.76	2.5	-1.225	-2.587	NaN	NaN	NaN
94.78	4.772	0.57	3.071	NaN	NaN	NaN
94.8	0.995	-1.079	-1.21	NaN	NaN	NaN
94.82	0.498	-0.405	-0.517	NaN	NaN	NaN
94.84	0.494	-0.942	0.928	NaN	NaN	NaN
94.86	4.012	-0.297	-4.757	NaN	NaN	NaN
94.88	2.002	-0.818	-4.193	NaN	NaN	NaN
94.9	-1.224	-0.469	-4.579	NaN	NaN	NaN
94.92	4.769	0.167	4.027	NaN	NaN	NaN
94.94	2.008	0.253	0.032	NaN	NaN	NaN
94.96	2.008	0.253	-0.822	NaN	NaN	NaN
94.98	2.76	0.047	-1.029	NaN	NaN	NaN
95	3.006	-0.558	0.104	NaN	NaN	NaN
95.02	5.018	-0.036	-2.1	NaN	NaN	NaN
95.04	2.071	0.236	3.523	NaN	NaN	NaN
95.06	-0.442	-0.382	-2.573	NaN	NaN	NaN
95.08	5.306	0.039	-0.28	NaN	NaN	NaN
95.1	5.773	0.16	1.464	NaN	NaN	NaN
95.12	4.012	-0.297	-1.774	NaN	NaN	NaN
95.14	-0.495	0.942	7.128	NaN	NaN	NaN
95.16	5.018	-0.036	3.998	NaN	NaN	NaN
95.18	4.012	-0.297	0.762	NaN	NaN	NaN
95.2	3.665	0.684	4.887	NaN	NaN	NaN
95.22	4.267	0.17	4.334	NaN	NaN	NaN
95.24	2.002	-0.818	-0.92	NaN	NaN	NaN
95.26	2.009	0.254	3.615	NaN	NaN	NaN
95.28	3.266	0.446	5.393	NaN	NaN	NaN
95.3	-2.34	1.268	10.257	NaN	NaN	NaN
95.32	3.513	-0.16	-0.425	NaN	NaN	NaN
95.34	4.014	-0.297	-0.71	NaN	NaN	NaN
95.36	3.511	-0.428	1.674	NaN	NaN	NaN
95.38	3.513	-0.16	2.207	NaN	NaN	NaN
95.4	1.654	0.162	4	NaN	NaN	NaN
95.42	4.018	0.239	1.907	NaN	NaN	NaN
95.44	4.014	-0.297	-2.041	NaN	NaN	NaN
95.46	5.526	0.363	2.868	NaN	NaN	NaN
95.48	2.005	-0.283	-0.459	NaN	NaN	NaN
95.5	3.513	-0.16	3.681	NaN	NaN	NaN
95.52	4.022	0.776	4.279	NaN	NaN	NaN
95.54	-2.016	-0.79	-0.555	NaN	NaN	NaN
95.56	3.523	0.914	8.226	NaN	NaN	NaN
95.58	2.005	-0.283	1.941	NaN	NaN	NaN
95.6	0.499	-0.137	2.953	NaN	NaN	NaN
95.62	2.005	-0.283	1.652	NaN	NaN	NaN
95.64	3.517	0.377	4.622	NaN	NaN	NaN
95.66	-0.003	-0.268	-4.348	NaN	NaN	NaN
95.68	4.014	-0.297	2.237	NaN	NaN	NaN
95.7	3.012	-0.021	3.652	NaN	NaN	NaN
95.72	3.227	-0.08	-0.542	NaN	NaN	NaN
95.74	4.014	-0.297	-0.765	NaN	NaN	NaN
95.76	4.518	-0.166	-0.328	NaN	NaN	NaN
95.78	2.009	0.254	5.068	NaN	NaN	NaN
95.8	3.509	-0.696	-0.604	NaN	NaN	NaN
95.82	4.018	0.239	-1.58	NaN	NaN	NaN
95.84	2.009	0.254	4.7	NaN	NaN	NaN
95.86	2.003	-0.819	-1.288	NaN	NaN	NaN
95.88	2.009	0.254	4.332	NaN	NaN	NaN
95.9	1.507	0.257	2.126	NaN	NaN	NaN
95.92	3.012	-0.021	0.465	NaN	NaN	NaN
95.94	1.003	-0.007	3.141	NaN	NaN	NaN
95.96	3.765	-0.094	0.119	NaN	NaN	NaN
95.98	2.009	0.254	1.243	NaN	NaN	NaN
96	2.507	-0.421	-0.638	NaN	NaN	NaN
96.02	3.449	-0.444	-2.056	NaN	NaN	NaN
96.04	3.012	-0.021	4.962	NaN	NaN	NaN
96.06	2.259	0.051	3.244	NaN	NaN	NaN
96.08	3.511	-0.428	0.454	NaN	NaN	NaN
96.1	2.009	0.254	-1.541	NaN	NaN	NaN
96.12	3.224	-0.502	-5.346	NaN	NaN	NaN
96.14	2.009	0.254	4.371	NaN	NaN	NaN
96.16	4.018	0.239	1.907	NaN	NaN	NaN
