time	wmstart	wmdisp15
12.4400	4.9918	-4.3445
12.4600	4.9918	-4.3437
12.4800	4.9919	-4.3435
12.5000	4.9916	-4.3438
12.5200	4.9919	-4.3441
12.5400	4.9919	-4.3441
12.5600	4.9916	-4.3438
12.5800	4.9919	-4.3443
12.6000	4.9921	-4.3440
12.6200	4.9916	-4.3437
12.6400	4.9916	-4.3438
12.6600	4.9913	-4.3438
12.6800	4.9915	-4.3438
12.7000	4.9915	-4.3435
12.7200	4.9915	-4.3433
12.7400	4.9919	-4.3432
12.7600	4.9916	-4.3443
12.7800	4.9913	-4.3441
12.8000	4.9916	-4.3445
12.8200	4.9916	-4.3441
12.8400	4.9916	-4.3440
12.8600	4.9916	-4.3433
12.8800	4.9915	-4.3435
12.9000	4.9915	-4.3440
12.9200	4.9915	-4.3441
12.9400	4.9916	-4.3435
12.9600	4.9916	-4.3437
12.9800	4.9913	-4.3443
13.0000	4.9916	-4.3448
13.0200	4.9915	-4.3440
13.0400	4.9913	-4.3445
13.0600	4.9911	-4.3441
13.0800	4.9915	-4.3443
13.1000	4.9913	-4.3441
13.1200	4.9913	-4.3445
13.1400	4.9915	-4.3441
13.1600	4.9911	-4.3438
13.1800	4.9919	-4.3437
13.2000	4.9911	-4.3438
13.2200	4.9911	-4.3441
13.2400	4.9913	-4.3441
13.2600	4.9910	-4.3438
13.2800	4.9910	-4.3435
13.3000	4.9908	-4.3435
13.3200	4.9911	-4.3437
13.3400	4.9908	-4.3441
13.3600	4.9911	-4.3441
13.3800	4.9913	-4.3448
13.4000	4.9911	-4.3445
13.4200	4.9913	-4.3449
13.4400	4.9910	-4.3445
13.4600	4.9913	-4.3443
13.4800	4.9910	-4.3445
13.5000	4.9908	-4.3441
13.5200	4.9913	-4.3440
13.5400	4.9908	-4.3433
13.5600	4.9907	-4.3437
13.5800	4.9910	-4.3443
13.6000	4.9911	-4.3437
13.6200	4.9908	-4.3443
13.6400	4.9907	-4.3443
13.6600	4.9911	-4.3441
13.6800	4.9911	-4.3437
13.7000	4.9908	-4.3433
13.7200	4.9913	-4.3437
13.7400	4.9908	-4.3441
13.7600	4.9907	-4.3446
13.7800	4.9910	-4.3440
13.8000	4.9910	-4.3445
13.8200	4.9905	-4.3441
13.8400	4.9907	-4.3446
13.8600	4.9910	-4.3443
13.8800	4.9907	-4.3449
13.9000	4.9908	-4.3448
13.9200	4.9910	-4.3435
13.9400	4.9910	-4.3446
13.9600	4.9908	-4.3443
13.9800	4.9908	-4.3445
14.0000	4.9903	-4.3448
14.0200	4.9907	-4.3441
14.0400	4.9902	-4.3440
14.0600	4.9910	-4.3443
14.0800	4.9907	-4.3446
14.1000	4.9908	-4.3440
14.1200	4.9903	-4.3440
14.1400	4.9911	-4.3435
14.1600	4.9907	-4.3440
14.1800	4.9907	-4.3440
14.2000	4.9910	-4.3443
14.2200	4.9907	-4.3437
14.2400	4.9903	-4.3437
14.2600	4.9905	-4.3443
14.2800	4.9907	-4.3440
14.3000	4.9907	-4.3438
14.3200	4.9905	-4.3441
14.3400	4.9908	-4.3448
14.3600	4.9908	-4.3443
